Aircraft,AirlineName,CabinType,DateFlown,DatePub,EntertainmentRating,FoodRating,GroundServiceRating,OriginCountry,OverallScore,Recommended,Review,Route,SeatComfortRating,ServiceRating,Slug,Title,TravelType,TripVerified,ValueRating,WifiRating,unique_id
ATR-72,Adria Airways,Economy Class,Sep-17,5th December 2017,0,1,1,UnitedStates,3,no,"Ljubljana to Vienna. Overall, the flight services of Adria are those of an average, reliable, small European carrier. I have flown them many times over the years, and I have seldom experienced any problems with the flights themselves. Returning to Vienna from a visit to Albania and Slovenia in September, however, I had an encounter with Adria that has revealed just how much their customer service quality could be improved. Adria offers opportunities to purchase business class upgrades or empty economy class seats through Optiontown. Business class upgrades on Adria are a joke because you're paying at least 50EUR for an empty seat next to you and a snack. The option to purchase an empty economy class seat at 19EUR is a great deal though, in my opinion. Having selected this option for my LJU-VIE flight, I received a confirmation that my transaction had cleared and the extra seat had been assigned next to me. Fast forward to the actual flight: there had been an aircraft change from the CRJ-900 to an ATR-72 (Darwin Airlines/Etihad Regional), but I still had my empty seat. The ATR-72 has two seats that face towards the rear of the plane at the front of the cabin, and one of the women seated there was scared to fly backwards, so the flight attendant unilaterally reassigned her to my empty seat without asking. It's a short flight, and I didn't want to cause a scene, so I just let it all happen assuming I could easily get a refund for my 20EUR transaction. It took exactly one month for Adria's customer service team to respond to me, and they said that my ""business class upgrade"" had not cleared, so I was not charged. I had never requested a business class upgrade, and I was charged for the empty seat I had in fact requested, so I sent all of the relevant receipts and statements back to Adria. Three weeks later, I still have yet to receive a response, so I simply disputed the charge with my credit card company that was easily able to understand the issue and refunded the money. 3-4 weeks+ response time from customer service is absolutely embarrassing, and Adria should be ashamed of their operations. It's sad for an otherwise perfectly acceptable airline to lose a customer over 20EUR.",Ljubljana to Vienna,2,4,adria-airways,should be ashamed of their operations,Solo Leisure,Trip Verified,3,0,0ce9da20-0415-47e2-9423-c3f7aed631db
CRJ700 / ATR72,Adria Airways,Economy Class,Nov-17,20th November 2017,0,3,5,Slovenia,9,yes,"Two nice short flights from Ljubljana to Sarajevo and back. First flight with Adria, flight back with Adria Switzerland. Flight to Sarajevo delayed due to fog in Sarajevo, Adria quickly changed an aircraft so that it was possible to land in foggy weather (CRJ instead of ATR). Product depends weather it is Adria or Adria Switzerland. Adria with snack, water and buy on board product, Adria Switzerland with snack, water, tea and coffee and without buy on board. I personally prefer the second option. Adria Switzerland provided nicer and cosier atmosphere on board, somehow a kind of premium product compare to Adria mainline.",Ljubljana to Sarajevo,5,5,adria-airways,Two nice short flights,Business,Trip Verified,3,0,135a4bf8-1d5f-4431-81e8-f9168ab718c5
,Adria Airways,Economy Class,Oct-17,27th October 2017,0,0,1,Finland,2,no,We were 11 people coming in with a short connection to Zurich hoping to continue with Adria to Ljubjana. We were before final call at the departure gate. Other people were still boarding. Adria had decided to rebook us and could not put us back on the plane. I and my wife had no checked in baggage. We had to wait 5 hours for next flight. This was extremely bad service and will do our utmost to never have to fly Adria again. We will also warn all our flying friends.,Zurich to Ljubjana,3,3,adria-airways,extremely bad service,Couple Leisure,,1,0,7f337041-1b57-4320-866d-2c809f62e759
,Adria Airways,Economy Class,Jun-17,16th September 2017,0,1,1,UnitedStates,2,no,"Ljubljana to Munich after arriving from Atlanta on Delta. Flight was ok, short 50 min. But they lost our baggage, if we didn't persistently call the airport we wouldn't have our bags for a week because they are lazy. One bag was badly damaged and things missing. We did everything they told us to do to report it but they didn't honor it and it took 3 months for them to pay us around 20% of the replacements and extra expenses we had for days. Very rude, try to blame it on the customer, if you don't live in Slovenia and your only communication is over emails it takes 2 to 3 weeks for them to reply even if you send them email right after they sent one. That day they lost baggage for 3 different passengers and when we had our return flight there were two more passengers that said they lost their bags so this is normal for that airline. It was a cheaper option to fly with them, but it was not worth the extra cost later. I would never fly this airline again.",Ljubljana to Munich ,3,4,adria-airways,never fly this airline again,Family Leisure,,2,1,2e98802c-7acd-4be6-974c-1a523e838e9e
CR9,Adria Airways,Economy Class,Apr-17,19th April 2017,4,4,5,Switzerland,9,yes,"Ljubljana to Zurich on April 18th. Adria Airways has become in recent years a more reliable airline which I use for these flights. I can't remember a delay and I fly them once a month. Flight Attendants are professionel. Food and Drinks (except water) have to be purchased. Sandwiches are tasty, wine choice could be better. Newspapers are available for free but mostly in Slovenian language only. Seat pitch on emergency exits are above international standards and safety seems to be their Nr. 1 aim as it is one of the rare airlines having extra safety instructions for passengers seated on emergency exit seats. Their inflight magazine is available online or printed. Not necessarily exciting but solid and reliable product which I can recommend.",Ljubljana to Zurich,5,5,adria-airways,can't remember a flight delay,Business,,4,0,ee0f555d-5c46-466f-80aa-4a2c2e3be889
Canadair 700,Adria Airways,Business Class,Dec-16,27th January 2017,5,4,5,Austria,8,yes,"Ljubljana to Vienna. After a fast boarding procedure the plane took off in time. The seat was quite comfortable although the cabin looked a bit nagged. Despite the fact that this was a regional flight, Adria Airways offered a Wifi service with good connection, an IFE system and free chat function amongst the passengers. A very friendly crew welcomed the passengers onboard and started their service which was pretty impressive for this 50 minutes flight. The business meal tasted great and we landed punctually in Vienna.",LJU to VIE,5,5,adria-airways,seat was quite comfortable ,Solo Leisure,,4,5,ac40e3ff-9025-40cf-99d0-dc3c7d451d3a
CRJ900,Adria Airways,Economy Class,Oct-16,10th November 2016,0,0,5,Slovenia,10,yes,"✅ , |  Two very short flights with Adria Airways from Ljubljana to Vienna and back. Both on time. CRJ aircrafts new, cabin fresh and seats comfortable. On both flights welcome from the flight deck with all information about the flight before take-off. Cabin crews polite and professional. Overall nice and comfortable flights.",LJU to VIE,5,5,adria-airways,nice and comfortable flights,Business,,4,0,d0bdee78-b179-4228-8c79-f3b123e798d5
CRJ900,Adria Airways,Business Class,Nov-16,9th November 2016,0,3,3,Singapore,8,yes,"✅ , |  I boarded the CRJ900 flight and at my seat I had the table down and on it a pre-flight snack, water and juice. What a great surprise as you arrive to your seat. Loved it. Although the meal wasn't the best, it was good and the wine very good. The first row is very spacious and lots of legroom, which is not always guaranteed for bulkhead. I find the new generation CRJ900 plane very comfy with big windows so was very pleased with the whole flight.",LJU to CPH,4,4,adria-airways,what a great surprise,Solo Leisure,,4,0,7b16a121-5060-4e41-bdfb-6c74928ee1e0
,Adria Airways,Economy Class,Nov-16,3rd November 2016,3,1,4,Slovenia,5,no,"✅ , |  Fly only if no other connection, I am a frequent business flyer mostly departing from Vienna or Munich to destinations. The flight with Adria was chosen due to convenience, however if I had an option to choose next time, the value for money is not there nor the experience. Outdated aircraft (buzzing from AC in the upper compartment present the whole time of descending and extremly anoying. Complimentary glass of water and snack (pretzles). Other options only upon payment (does not seem acceptable fot the price over 400 eur). Not to mention online check in unavailable from Paris, while the traffic to the airport is unpredictable, hence online check in is a must. All in all I would fly Adria again only if there is no other option left. The aircraft staff though very nice.",CDG to LJU,3,5,adria-airways,value for money is not there nor the experience,Business,,1,3,bfc25433-e355-4af4-8cdd-6ea55adec6b4
CRJ-900,Adria Airways,Economy Class,Oct-16,21st October 2016,1,2,3,Australia,2,no,"✅ , |  Munich to Ljubljana. Adria Airways as the national carrier pretty much holds a monopoly in this market and even those few carriers who had flown limited scheduled routes into the Slovenian capital, Air France and Swiss, have regretfully withdrawn their services. I have spent a lifetime of flying and the Adria product, I am sorry to say, is grossly inadequate. There is nothing appealing about Adria's offering and what incentive do they have to lift their standard when there is no competition to stimulate improvement? The entire fleet is tired and outdated. The business class product is non existent, staff are at best disinterested, leaning towards unfriendly. And what's with those announcements? They are completely impossible to understand, not just in English and German but also in Slovenian. If not having flown as often as I have to know what the announcements are about, there is no hope in hell that a normal person can understand the dribble that comes over the PA. Guess how many uninformed passengers does that make for? If one is not fluent in a language, and heavily accented, then one must slow down so others can hopefully understand you. But what's their excuse of not pronouncing Slovenian correctly. Everything is executed at such a speed so they can place a tick against that task, yet no care is invested to make sure the task is executed effectively. ! Pick up your game or your end will come one day when monopoly is broken (look around the world to learn from other such stories).  I have found a solution to avoid flying Adria Airways where possible - Turkish Airlines presence is now pretty strong in LJU and I can't fault their service. Whenever flying into LJU from a geographical destination where IST is a logical place to transit, TK is my carrier of choice.",MUC to LJU,1,1,adria-airways,fleet is tired and outdated,Solo Leisure,,1,0,c09e057a-20d6-4732-bb62-c6464605d4d3
CRJ-900,Adria Airways,Economy Class,Oct-16,10th October 2016,2,1,2,Netherlands,3,no,"✅ , |  Ljubljana to Amsterdam. First experience with Adria Airways was underwhelming and unimpressive. Flight sat on tarmac fully boarded for 20 minutes without explanation; causing 20 minute delay on arrival without comment from crew and despite many passengers with tight connections in AMS. Crew was the least personal I've experienced in my 30+ flights in 2016. The crew quickly passed through the cabin holding a large bottle of water but without offering it; everything else is buy-on-board at unappealing prices. Aging CRJ-900 showed its wear, limited on-air entertainment, but able to select bulkhead seat at check-in so legroom was good. Compared to inbound flight on Air France, Adria lacked any sort of the polished, personal touch that its in-flight magazine claims it wants to project. To LJU, however, the options are few and the schedules erratic, so Adria will often be the only rational choice for many sectors.",LJU to AMS,3,1,adria-airways,underwhelming and unimpressive,Solo Leisure,,2,0,7d597a9f-0578-4892-8825-47bbde83d25a
CRJ900 / A319,Adria Airways,Economy Class,Aug-16,30th September 2016,0,0,4,Slovenia,3,no,"✅ , |  Ljubljana to Brussels. Two very different experiences. Flight from Ljubljana to Brussels nice and comfortable, CRJ900 cabin clean and pleasant. Very professional and nice cabin crew on JP376 flight on Aug 03. JP395 flight back on Aug 30 could not be more different. A319 cabin tired and uncomfortable, flight almost empty, cabin crew could not be more unprofessional, tired and not interested. A nightmare of a crew. The worst was a purser. I have never experienced such unmotivated flight attendant with totally not acceptable appearance. You can have a bad day, however even if it is your worst day ever, you should look professional enough for a flight purser. At the end of the day with buy on board service on JP flights the flight attendants make all the difference on board of the aircraft.",LJU to BRU,2,2,adria-airways,very different experiences,Couple Leisure,,4,0,49f47ea3-9855-4285-87a0-b31c21ce4e17
A319,Adria Airways,Economy Class,Sep-16,4th September 2016,4,3,3,UnitedKingdom,6,yes,"Booked this flight after many years using Easyjet, got the flight at a very reasonable price, actually cheaper than easyJet. Flight outbound and inbound were ok and although departing slightly late, we arrived pretty close to scheduled time, outbound landing in Ljubljana was a bit rough. The staff were all pleasant enough and served complementary water, a small selection of other food and drink were for sale but some advertised items were not available. Seating is now a bit cramped with even less leg room than Easyjet, I am just 6' and my kness were toching the seat in front and were crushed further by the person in front moving and the person behind digging their knees into my back as thay wer oviosly struggling for room too. Much more cramped than the previous time I flew Adria over 10 years ago.",MAN to LJU,2,4,adria-airways,staff were all pleasant enough,Family Leisure,,4,4,2513a22e-2f50-4e9f-86a7-aa9b5b036e36
,Adria Airways,Economy Class,Jul-16,6th August 2016,0,0,1,UnitedKingdom,3,no,"✅ , |  Gatwick to Ljubljana. Do not rely on Adria Airways to be communicative when anything goes wrong. My luggage went missing and nothing until they wanted to deliver it 10 days later. Adria do not take criticism well. I would say they are in denial most of the time. Their computer systems, like their staff, do not talk to each other. You have been warned!",LGW to LJU,4,5,adria-airways,Adria do not take criticism well,Couple Leisure,,3,0,503adcf4-9578-4354-be25-32e40d93bb4f
Canadair 700,Adria Airways,Economy Class,Jul-16,29th July 2016,0,5,5,Estonia,10,yes,"✅ , |  Tallinn to Stockholm with Adria Airways. Clean and fresh aircraft with Nordica livery. Pleasant boarding staff, clear announcements from FAs and cockpit informative. An innovative approach to meal service - selection of ""make your own sandwich"" - very fresh for 5.50 euros. Coffee, tea and water complimentary. Flight slightly delayed because of technical overhaul.",TLL to ARN,5,5,adria-airways,Clean and fresh aircraft ,Solo Leisure,,5,0,f8cfc2d1-f479-41f1-a1af-96fe626b54d8
CRJ 900,Adria Airways,Economy Class,Jul-16,13th July 2016,0,3,5,UnitedStates,8,yes,"Flew roundtrip on this short route from Zurich to Ljubljana with Adria Airways. On-time departure and arrival both times. No turbulence. Splendid views of the Alps. Both times, at both locations, bus trip to aircraft located off-gate. Flight announcements in Slovenian and passable English. A small glass of water served. Everything else - from cola to candy to croissant - available for purchase. Was able to select my seat in advance. Luggage left at staircase was available for retrieval at bottom of stairs on arrival. Ticket and gate agents very polite and spoke excellent English. The airline did its job. It got me to my destination on time. It is an impressive and efficient small airline that made the journey very pleasant.",ZRH to LJU,4,4,adria-airways,the airline did its job,Business,,4,0,621463bc-da2d-437c-a602-4b2eff3a5259
CRJ900,Adria Airways,Economy Class,Jul-16,11th July 2016,0,0,5,Slovenia,10,yes,"✅ , |  Two short flights with Adria Airways (Ljubljana - Zurich and Munich -Ljubljana), both on time, aircrafts new, cabin bright and clean. Nice and professional service on both flights. On the morning flight out of Ljubljana I did not take any free newspapers and just said that I will sleep. The chief flight attendant before take off brought me a pillow for a more comfortable sleeps. Nice touch.",LJU to ZRH,5,5,adria-airways,nice and professional service,Solo Leisure,,5,0,c90add60-f617-4cb4-96db-75db02b463af
